Scott Afb Midamerica;Belleville;United States;BLV;KBLV;38.545178;-89.835183;-6;A
Brigham City;Brigham City;United States;BMC;KBMC;41.552;-112.062;-7;A
Monroe County Airport;Bloomington;United States;BMG;KBMG;39.1460208;-86.6166805;-5;A
Central Illinois Rgnl;Bloomington;United States;BMI;KBMI;40.477111;-88.915917;-6;A
Bamburi;Bamburi;Kenya;BMQ;KBMQ;-3.9826888889;39.7308972222;3;U
Nashville Intl;Nashville;United States;BNA;KBNA;36.124472;-86.678194;-6;A
Boise Air Terminal;Boise;United States;BOI;KBOI;43.564361;-116.222861;-7;A
General Edward Lawrence Logan Intl;Boston;United States;BOS;KBOS;42.364347;-71.005181;-5;A
Bartow Municipal Airport;Bartow;United States;BOW;KBOW;27.9434;-81.7834;-6;U
Southeast Texas Rgnl;Beaumont;United States;BPT;KBPT;29.950833;-94.020694;-6;A
Brunswick Golden Isles Airport;Brunswick;United States;BQK;KBQK;31.2588;-81.4665;-5;A
Brainerd Lakes Rgnl;Brainerd;United States;BRD;KBRD;46.398308;-94.138078;-6;U
Southeast Iowa Regional Airport;Burlington;United States;BRL;KBRL;40.7832;-91.1255;-6;A
Brownsville South Padre Island Intl;Brownsville;United States;BRO;KBRO;25.906833;-97.425861;-6;A
Bert Mooney Airport;Butte;United States;BTM;KBTM;45.954806;-112.497472;-7;A
Baton Rouge Metro Ryan Fld;Baton Rouge;United States;BTR;KBTR;30.533167;-91.149639;-6;A
Burlington Intl;Burlington;United States;BTV;KBTV;44.471861;-73.153278;-5;A
Buffalo Niagara Intl;Buffalo;United States;BUF;KBUF;42.940525;-78.732167;-5;A
Bob Hope;Burbank;United States;BUR;KBUR;34.200667;-118.358667;-8;A
Municipal Airport;Burlington;United States;BUU;KBUU;42.6907171;-88.3046825;-6;A
Burlington-Alamance Regional Airport;Burlington;United States;BUY;KBUY;36.0485433;-79.4748892;-4;A
Boulder City Municipal Airport;Boulder City;United States;BLD;KBVU;35.5651;-114.514;-8;U
Phoenix-Mesa Gateway;Mesa;United States;AZA;KIWA;33.307833;-111.655;-7;N
Wings Field;Philadelphia;United States;BBX;KLOM;40.1375;-75.265;-5;A
Beaufort;Beaufort;United States;BFT;KNBC;32.477411;-80.723161;-5;A
Burgas;Bourgas;Bulgaria;BOJ;LBBG;42.569583;27.515236;2;E
Akrotiri;Akrotiri;Cyprus;AKT;LCRA;34.590416;32.987861;2;E
Alicante;Alicante;Spain;ALC;LEAL;38.282169;-0.558156;1;E
Bilbao;Bilbao;Spain;BIO;LEBB;43.301097;-2.910608;1;E
Barcelona;Barcelona;Spain;BCN;LEBL;41.297078;2.078464;1;E
Talavera La Real;Badajoz;Spain;BJZ;LEBZ;38.89125;-6.821333;1;E
Malaga;Malaga;Spain;AGP;LEMG;36.6749;-4.499106;1;E
La Garenne;Agen;France;AGF;LFBA;44.174721;0.590556;1;E
Merignac;Bordeaux;France;BOD;LFBD;44.828335;-0.715556;1;E
Brie Champniers;Angouleme;France;ANG;LFBU;45.729247;0.221456;1;E
Anglet;Biarritz-bayonne;France;BIQ;LFBZ;43.468419;-1.523325;1;E
Angers-Loire Airport;Angers/Marcé;France;ANE;LFJR;47.5603;-0.312222;1;E
Poretta;Bastia;France;BIA;LFKB;42.552664;9.483731;1;E
Campo Dell Oro;Ajaccio;France;AJA;LFKJ;41.923637;8.802917;1;E
Branches;Auxerre;France;AUF;LFLA;47.850193;3.497111;1;E
Bourges;Bourges;France;BOU;LFLD;47.058056;2.370278;1;E
Aurillac;Aurillac;France;AUR;LFLW;44.891388;2.421944;1;E
Caumont;Avignon;France;AVN;LFMV;43.9073;4.901831;1;E
Tille;Beauvais;France;BVA;LFOB;49.454444;2.112778;1;E
Guipavas;Brest;France;BES;LFRB;48.447911;-4.418539;1;E
Agrinion;Agrinion;Greece;AGQ;LGAG;38.602022;21.351208;2;E
Dimokritos;Alexandroupolis;Greece;AXD;LGAL;40.855869;25.956264;2;E
Eleftherios Venizelos Intl;Athens;Greece;ATH;LGAV;37.936358;23.944467;2;E
